"Point"	"x_coord"	"y_coord"	"z_coord"	"u"	"v"
267	+1.000021102e+00	-4.871626098e-02	+3.644854914e-02	0.535063126	0.500000000
268	+1.000021061e+00	-4.838750558e-02	+3.638006046e-02	0.537066733	0.500000000
269	+1.000021019e+00	-4.805344569e-02	+3.631041774e-02	0.539070341	0.500000000
270	+1.000020977e+00	-4.771527054e-02	+3.624054521e-02	0.541073948	0.500000000
271	+1.000020935e+00	-4.737416940e-02	+3.617136712e-02	0.543077555	0.500000000
272	+1.000020895e+00	-4.703133152e-02	+3.610380769e-02	0.545081162	0.500000000
273	+1.000020856e+00	-4.668794616e-02	+3.603879118e-02	0.547084770	0.500000000
274	+1.000020819e+00	-4.634520257e-02	+3.597724181e-02	0.549088377	0.500000000
275	+1.000020784e+00	-4.600425581e-02	+3.592004680e-02	0.551091984	0.500000000
276	+1.000020753e+00	-4.566563220e-02	+3.586741238e-02	0.553095591	0.500000000
277	+1.000020724e+00	-4.532930353e-02	+3.581894425e-02	0.555099198	0.500000000
278	+1.000020697e+00	-4.499522019e-02	+3.577422487e-02	0.557102806	0.500000000
279	+1.000020672e+00	-4.466333243e-02	+3.573283661e-02	0.559106413	0.500000000
280	+1.000020649e+00	-4.433359053e-02	+3.569436184e-02	0.561110020	0.500000000
281	+1.000020627e+00	-4.400594476e-02	+3.565838290e-02	0.563113627	0.500000000
282	+1.000020607e+00	-4.368034539e-02	+3.562448217e-02	0.565117234	0.500000000
283	+1.000020588e+00	-4.335674268e-02	+3.559224201e-02	0.567120842	0.500000000
284	+1.000020569e+00	-4.303508691e-02	+3.556124479e-02	0.569124449	0.500000000
285	+1.000020551e+00	-4.271532834e-02	+3.553107286e-02	0.571128056	0.500000000
286	+1.000020533e+00	-4.239741725e-02	+3.550130860e-02	0.573131663	0.500000000
287	+1.000020515e+00	-4.208130391e-02	+3.547153436e-02	0.575135271	0.500000000
288	+1.000020497e+00	-4.176693858e-02	+3.544133250e-02	0.577138878	0.500000000
289	+1.000020478e+00	-4.145427153e-02	+3.541028540e-02	0.579142485	0.500000000
290	+1.000020459e+00	-4.114325304e-02	+3.537797541e-02	0.581146092	0.500000000
291	+1.000020438e+00	-4.083383338e-02	+3.534398489e-02	0.583149699	0.500000000
292	+1.000020417e+00	-4.052596280e-02	+3.530789622e-02	0.585153307	0.500000000
293	+1.000020394e+00	-4.021959160e-02	+3.526929175e-02	0.587156914	0.500000000
294	+1.000020369e+00	-3.991467002e-02	+3.522775385e-02	0.589160521	0.500000000
295	+1.000020342e+00	-3.961114835e-02	+3.518286488e-02	0.591164128	0.500000000
296	+1.000020312e+00	-3.930897685e-02	+3.513420720e-02	0.593167735	0.500000000
297	+1.000020281e+00	-3.900810580e-02	+3.508136318e-02	0.595171343	0.500000000
298	+1.000020246e+00	-3.870848545e-02	+3.502391518e-02	0.597174950	0.500000000
299	+1.000020209e+00	-3.841006609e-02	+3.496144557e-02	0.599178557	0.500000000
300	+1.000020168e+00	-3.811279170e-02	+3.489357138e-02	0.601182164	0.500000000
301	+1.000020124e+00	-3.781651232e-02	+3.482042874e-02	0.603185772	0.500000000
302	+1.000020077e+00	-3.752100478e-02	+3.474255815e-02	0.605189379	0.500000000
303	+1.000020028e+00	-3.722604333e-02	+3.466051435e-02	0.607192986	0.500000000
304	+1.000019977e+00	-3.693140222e-02	+3.457485218e-02	0.609196593	0.500000000
305	+1.000019923e+00	-3.663685569e-02	+3.448612650e-02	0.611200200	0.500000000
306	+1.000019869e+00	-3.634217795e-02	+3.439489215e-02	0.613203808	0.500000000
307	+1.000019813e+00	-3.604714327e-02	+3.430170399e-02	0.615207415	0.500000000
308	+1.000019756e+00	-3.575152586e-02	+3.420711687e-02	0.617211022	0.500000000
309	+1.000019698e+00	-3.545509997e-02	+3.411168564e-02	0.619214629	0.500000000
310	+1.000019641e+00	-3.515763983e-02	+3.401596515e-02	0.621218236	0.500000000
311	+1.000019584e+00	-3.485891969e-02	+3.392051024e-02	0.623221844	0.500000000
312	+1.000019527e+00	-3.455871377e-02	+3.382587577e-02	0.625225451	0.500000000
313	+1.000019471e+00	-3.425679631e-02	+3.373261659e-02	0.627229058	0.500000000
314	+1.000019416e+00	-3.395294156e-02	+3.364128755e-02	0.629232665	0.500000000
