"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
183	+1.002761387e+00	+0.000000000e+00	+6.940380328e-02	0.366760120
184	+1.002847971e+00	+0.000000000e+00	+7.057287268e-02	0.368763727
185	+1.002935568e+00	+0.000000000e+00	+7.174079762e-02	0.370767335
186	+1.003024161e+00	+0.000000000e+00	+7.290755880e-02	0.372770942
187	+1.003113735e+00	+0.000000000e+00	+7.407313689e-02	0.374774549
188	+1.003204275e+00	+0.000000000e+00	+7.523751258e-02	0.376778156
189	+1.003295765e+00	+0.000000000e+00	+7.640066655e-02	0.378781764
190	+1.003388191e+00	+0.000000000e+00	+7.756257950e-02	0.380785371
191	+1.003481535e+00	+0.000000000e+00	+7.872323209e-02	0.382788978
192	+1.003575784e+00	+0.000000000e+00	+7.988260503e-02	0.384792585
193	+1.003670921e+00	+0.000000000e+00	+8.104067898e-02	0.386796192
194	+1.003766932e+00	+0.000000000e+00	+8.219743465e-02	0.388799800
195	+1.003863800e+00	+0.000000000e+00	+8.335285270e-02	0.390803407
196	+1.003961510e+00	+0.000000000e+00	+8.450691383e-02	0.392807014
197	+1.004060046e+00	+0.000000000e+00	+8.565959871e-02	0.394810621
198	+1.004159394e+00	+0.000000000e+00	+8.681088804e-02	0.396814228
199	+1.004259538e+00	+0.000000000e+00	+8.796076250e-02	0.398817836
200	+1.004360462e+00	+0.000000000e+00	+8.910920277e-02	0.400821443
201	+1.004462151e+00	+0.000000000e+00	+9.025618953e-02	0.402825050
202	+1.004564590e+00	+0.000000000e+00	+9.140170348e-02	0.404828657
203	+1.004667762e+00	+0.000000000e+00	+9.254572529e-02	0.406832265
204	+1.004771653e+00	+0.000000000e+00	+9.368823565e-02	0.408835872
205	+1.004876248e+00	+0.000000000e+00	+9.482921525e-02	0.410839479
206	+1.004981529e+00	+0.000000000e+00	+9.596864476e-02	0.412843086
207	+1.005087483e+00	+0.000000000e+00	+9.710650488e-02	0.414846693
208	+1.005194094e+00	+0.000000000e+00	+9.824277628e-02	0.416850301
209	+1.005301346e+00	+0.000000000e+00	+9.937743965e-02	0.418853908
210	+1.005409224e+00	+0.000000000e+00	+1.005104757e-01	0.420857515
211	+1.005517712e+00	+0.000000000e+00	+1.016418651e-01	0.422861122
212	+1.005626795e+00	+0.000000000e+00	+1.027715884e-01	0.424864729
213	+1.005736458e+00	+0.000000000e+00	+1.038996265e-01	0.426868337
214	+1.005846684e+00	+0.000000000e+00	+1.050259600e-01	0.428871944
215	+1.005957460e+00	+0.000000000e+00	+1.061505696e-01	0.430875551
216	+1.006068768e+00	+0.000000000e+00	+1.072734359e-01	0.432879158
217	+1.006180594e+00	+0.000000000e+00	+1.083945397e-01	0.434882766
218	+1.006292922e+00	+0.000000000e+00	+1.095138616e-01	0.436886373
219	+1.006405737e+00	+0.000000000e+00	+1.106313824e-01	0.438889980
220	+1.006519023e+00	+0.000000000e+00	+1.117470826e-01	0.440893587
221	+1.006632765e+00	+0.000000000e+00	+1.128609430e-01	0.442897194
222	+1.006746947e+00	+0.000000000e+00	+1.139729443e-01	0.444900802
223	+1.006861555e+00	+0.000000000e+00	+1.150830671e-01	0.446904409
224	+1.006976572e+00	+0.000000000e+00	+1.161912921e-01	0.448908016
225	+1.007091983e+00	+0.000000000e+00	+1.172976001e-01	0.450911623
226	+1.007207772e+00	+0.000000000e+00	+1.184019717e-01	0.452915230
227	+1.007323925e+00	+0.000000000e+00	+1.195043876e-01	0.454918838
228	+1.007440425e+00	+0.000000000e+00	+1.206048284e-01	0.456922445
229	+1.007557258e+00	+0.000000000e+00	+1.217032749e-01	0.458926052
230	+1.007674407e+00	+0.000000000e+00	+1.227997078e-01	0.460929659
231	+1.007791858e+00	+0.000000000e+00	+1.238941077e-01	0.462933267
232	+1.007909594e+00	+0.000000000e+00	+1.249864552e-01	0.464936874
233	+1.008027601e+00	+0.000000000e+00	+1.260767312e-01	0.466940481
234	+1.008145863e+00	+0.000000000e+00	+1.271649163e-01	0.468944088
235	+1.008264365e+00	+0.000000000e+00	+1.282509911e-01	0.470947695
236	+1.008383090e+00	+0.000000000e+00	+1.293349364e-01	0.472951303
237	+1.008502024e+00	+0.000000000e+00	+1.304167328e-01	0.474954910
238	+1.008621151e+00	+0.000000000e+00	+1.314963610e-01	0.476958517
239	+1.008740456e+00	+0.000000000e+00	+1.325738017e-01	0.478962124
240	+1.008859924e+00	+0.000000000e+00	+1.336490356e-01	0.480965731
241	+1.008979538e+00	+0.000000000e+00	+1.347220434e-01	0.482969339
242	+1.009099283e+00	+0.000000000e+00	+1.357928058e-01	0.484972946
243	+1.009219144e+00	+0.000000000e+00	+1.368613033e-01	0.486976553
244	+1.009339106e+00	+0.000000000e+00	+1.379275168e-01	0.488980160
245	+1.009459153e+00	+0.000000000e+00	+1.389914269e-01	0.490983768
246	+1.009579269e+00	+0.000000000e+00	+1.400530143e-01	0.492987375
247	+1.009699439e+00	+0.000000000e+00	+1.411122597e-01	0.494990982
248	+1.009819648e+00	+0.000000000e+00	+1.421691437e-01	0.496994589
249	+1.009939880e+00	+0.000000000e+00	+1.432236471e-01	0.498998196
250	+1.010060120e+00	+0.000000000e+00	+1.442757505e-01	0.501001804
251	+1.010180352e+00	+0.000000000e+00	+1.453254346e-01	0.503005411
252	+1.010300561e+00	+0.000000000e+00	+1.463726801e-01	0.505009018
253	+1.010420731e+00	+0.000000000e+00	+1.474174677e-01	0.507012625
254	+1.010540847e+00	+0.000000000e+00	+1.484597781e-01	0.509016232
255	+1.010660894e+00	+0.000000000e+00	+1.494995919e-01	0.511019840
256	+1.010780856e+00	+0.000000000e+00	+1.505368899e-01	0.513023447
257	+1.010900717e+00	+0.000000000e+00	+1.515716526e-01	0.515027054
258	+1.011020462e+00	+0.000000000e+00	+1.526038609e-01	0.517030661
259	+1.011140076e+00	+0.000000000e+00	+1.536334953e-01	0.519034269
260	+1.011259544e+00	+0.000000000e+00	+1.546605367e-01	0.521037876
261	+1.011378849e+00	+0.000000000e+00	+1.556849656e-01	0.523041483
262	+1.011497976e+00	+0.000000000e+00	+1.567067627e-01	0.525045090
263	+1.011616910e+00	+0.000000000e+00	+1.577259088e-01	0.527048697
264	+1.011735635e+00	+0.000000000e+00	+1.587423844e-01	0.529052305
265	+1.011854137e+00	+0.000000000e+00	+1.597561704e-01	0.531055912
266	+1.011972399e+00	+0.000000000e+00	+1.607672473e-01	0.533059519
267	+1.012090406e+00	+0.000000000e+00	+1.617755959e-01	0.535063126
268	+1.012208142e+00	+0.000000000e+00	+1.627811969e-01	0.537066733
269	+1.012325593e+00	+0.000000000e+00	+1.637840308e-01	0.539070341
270	+1.012442742e+00	+0.000000000e+00	+1.647840785e-01	0.541073948
271	+1.012559575e+00	+0.000000000e+00	+1.657813206e-01	0.543077555
272	+1.012676075e+00	+0.000000000e+00	+1.667757378e-01	0.545081162
273	+1.012792228e+00	+0.000000000e+00	+1.677673107e-01	0.547084770
274	+1.012908017e+00	+0.000000000e+00	+1.687560201e-01	0.549088377
275	+1.013023428e+00	+0.000000000e+00	+1.697418467e-01	0.551091984
276	+1.013138445e+00	+0.000000000e+00	+1.707247710e-01	0.553095591
277	+1.013253053e+00	+0.000000000e+00	+1.717047739e-01	0.555099198
278	+1.013367235e+00	+0.000000000e+00	+1.726818360e-01	0.557102806
279	+1.013480977e+00	+0.000000000e+00	+1.736559379e-01	0.559106413
280	+1.013594263e+00	+0.000000000e+00	+1.746270604e-01	0.561110020
281	+1.013707078e+00	+0.000000000e+00	+1.755951841e-01	0.563113627
282	+1.013819406e+00	+0.000000000e+00	+1.765602898e-01	0.565117234
283	+1.013931232e+00	+0.000000000e+00	+1.775223581e-01	0.567120842
284	+1.014042540e+00	+0.000000000e+00	+1.784813696e-01	0.569124449
285	+1.014153316e+00	+0.000000000e+00	+1.794373052e-01	0.571128056
286	+1.014263542e+00	+0.000000000e+00	+1.803901454e-01	0.573131663
287	+1.014373205e+00	+0.000000000e+00	+1.813398709e-01	0.575135271
288	+1.014482288e+00	+0.000000000e+00	+1.822864625e-01	0.577138878
289	+1.014590776e+00	+0.000000000e+00	+1.832299009e-01	0.579142485
290	+1.014698654e+00	+0.000000000e+00	+1.841701666e-01	0.581146092
291	+1.014805906e+00	+0.000000000e+00	+1.851072404e-01	0.583149699
292	+1.014912517e+00	+0.000000000e+00	+1.860411030e-01	0.585153307
