"Point"	"x_coord"	"y_coord"	"z_coord"	"u"	"v"
245	+9.890508991e-01	-2.486309203e-01	+2.406313887e-01	0.490983768	0.000100000
246	+9.890218711e-01	-2.488818795e-01	+2.414921745e-01	0.492987375	0.000100000
247	+9.890332456e-01	-2.489686878e-01	+2.424051901e-01	0.494990982	0.000100000
248	+9.890864804e-01	-2.488832396e-01	+2.433715979e-01	0.496994589	0.000100000
249	+9.891828298e-01	-2.486174069e-01	+2.443922930e-01	0.498998196	0.000100000
250	+9.893214457e-01	-2.481691241e-01	+2.454524714e-01	0.501001804	0.000100000
251	+9.894843512e-01	-2.475957714e-01	+2.464066138e-01	0.503005411	0.000100000
252	+9.896675388e-01	-2.469157181e-01	+2.472293453e-01	0.505009018	0.000100000
253	+9.898710647e-01	-2.461337361e-01	+2.479293688e-01	0.507012625	0.000100000
254	+9.900947190e-01	-2.452545905e-01	+2.485147417e-01	0.509016232	0.000100000
255	+9.903380490e-01	-2.442830429e-01	+2.489929307e-01	0.511019840	0.000100000
256	+9.906003833e-01	-2.432238520e-01	+2.493708710e-01	0.513023447	0.000100000
257	+9.908808569e-01	-2.420817757e-01	+2.496550245e-01	0.515027054	0.000100000
258	+9.911784368e-01	-2.408615713e-01	+2.498514372e-01	0.517030661	0.000100000
259	+9.914919479e-01	-2.395679977e-01	+2.499657947e-01	0.519034269	0.000100000
260	+9.918200974e-01	-2.382058155e-01	+2.500034767e-01	0.521037876	0.000100000
261	+9.921614997e-01	-2.367797886e-01	+2.499696084e-01	0.523041483	0.000100000
262	+9.925146996e-01	-2.352946850e-01	+2.498691096e-01	0.525045090	0.000100000
263	+9.928781945e-01	-2.337552772e-01	+2.497067406e-01	0.527048697	0.000100000
264	+9.932504551e-01	-2.321663434e-01	+2.494871462e-01	0.529052305	0.000100000
265	+9.936299446e-01	-2.305326678e-01	+2.492148948e-01	0.531055912	0.000100000
266	+9.940151364e-01	-2.288590414e-01	+2.488945155e-01	0.533059519	0.000100000
267	+9.944045299e-01	-2.271502623e-01	+2.485305311e-01	0.535063126	0.000100000
268	+9.947966641e-01	-2.254111357e-01	+2.481274875e-01	0.537066733	0.000100000
269	+9.951901306e-01	-2.236464750e-01	+2.476899796e-01	0.539070341	0.000100000
270	+9.955835831e-01	-2.218611012e-01	+2.472226741e-01	0.541073948	0.000100000
271	+9.959757464e-01	-2.200598435e-01	+2.467303277e-01	0.543077555	0.000100000
272	+9.963654227e-01	-2.182475391e-01	+2.462178026e-01	0.545081162	0.000100000
273	+9.967514969e-01	-2.164290332e-01	+2.456900781e-01	0.547084770	0.000100000
274	+9.971329395e-01	-2.146091791e-01	+2.451522586e-01	0.549088377	0.000100000
275	+9.975088082e-01	-2.127928378e-01	+2.446095786e-01	0.551091984	0.000100000
276	+9.978782480e-01	-2.109848781e-01	+2.440674040e-01	0.553095591	0.000100000
277	+9.982404893e-01	-2.091901758e-01	+2.435312301e-01	0.555099198	0.000100000
278	+9.985949222e-01	-2.074131708e-01	+2.430062082e-01	0.557102806	0.000100000
279	+9.989416061e-01	-2.056547833e-01	+2.424938506e-01	0.559106413	0.000100000
280	+9.992808935e-01	-2.039142358e-01	+2.419938741e-01	0.561110020	0.000100000
281	+9.996131250e-01	-2.021907290e-01	+2.415059540e-01	0.563113627	0.000100000
282	+9.999386258e-01	-2.004834619e-01	+2.410297455e-01	0.565117234	0.000100000
283	+1.000257707e+00	-1.987916320e-01	+2.405648850e-01	0.567120842	0.000100000
284	+1.000570667e+00	-1.971144351e-01	+2.401109910e-01	0.569124449	0.000100000
285	+1.000877788e+00	-1.954510654e-01	+2.396676648e-01	0.571128056	0.000100000
286	+1.001179343e+00	-1.938007157e-01	+2.392344920e-01	0.573131663	0.000100000
287	+1.001475591e+00	-1.921625775e-01	+2.388110426e-01	0.575135271	0.000100000
288	+1.001766779e+00	-1.905358407e-01	+2.383968725e-01	0.577138878	0.000100000
289	+1.002053144e+00	-1.889196941e-01	+2.379915237e-01	0.579142485	0.000100000
290	+1.002334912e+00	-1.873133251e-01	+2.375945253e-01	0.581146092	0.000100000
291	+1.002612298e+00	-1.857159199e-01	+2.372053942e-01	0.583149699	0.000100000
292	+1.002885506e+00	-1.841266635e-01	+2.368236353e-01	0.585153307	0.000100000
293	+1.003154732e+00	-1.825447399e-01	+2.364487429e-01	0.587156914	0.000100000
294	+1.003420162e+00	-1.809693316e-01	+2.360802003e-01	0.589160521	0.000100000
295	+1.003681972e+00	-1.793996205e-01	+2.357174809e-01	0.591164128	0.000100000
296	+1.003940331e+00	-1.778347871e-01	+2.353600486e-01	0.593167735	0.000100000
297	+1.004195396e+00	-1.762740110e-01	+2.350073580e-01	0.595171343	0.000100000
298	+1.004447319e+00	-1.747164708e-01	+2.346588550e-01	0.597174950	0.000100000
299	+1.004696242e+00	-1.731613443e-01	+2.343139769e-01	0.599178557	0.000100000
300	+1.004942298e+00	-1.716078080e-01	+2.339721531e-01	0.601182164	0.000100000
301	+1.005185613e+00	-1.700550378e-01	+2.336328050e-01	0.603185772	0.000100000
302	+1.005426306e+00	-1.685022086e-01	+2.332953465e-01	0.605189379	0.000100000
303	+1.005664487e+00	-1.669484945e-01	+2.329591839e-01	0.607192986	0.000100000
304	+1.005900259e+00	-1.653930686e-01	+2.326237164e-01	0.609196593	0.000100000
305	+1.006133715e+00	-1.638351033e-01	+2.322883363e-01	0.611200200	0.000100000
306	+1.006364921e+00	-1.622739506e-01	+2.319525205e-01	0.613203808	0.000100000
307	+1.006593857e+00	-1.607095754e-01	+2.316160534e-01	0.615207415	0.000100000
308	+1.006820486e+00	-1.591420784e-01	+2.312787863e-01	0.617211022	0.000100000
309	+1.007044771e+00	-1.575715622e-01	+2.309405699e-01	0.619214629	0.000100000
310	+1.007266673e+00	-1.559981292e-01	+2.306012532e-01	0.621218236	0.000100000
311	+1.007486157e+00	-1.544218822e-01	+2.302606832e-01	0.623221844	0.000100000
312	+1.007703183e+00	-1.528429241e-01	+2.299187058e-01	0.625225451	0.000100000
313	+1.007917717e+00	-1.512613578e-01	+2.295751649e-01	0.627229058	0.000100000
314	+1.008129719e+00	-1.496772864e-01	+2.292299028e-01	0.629232665	0.000100000
