"Point"	"x_coord"	"y_coord"	"z_coord"	"u"
248	+1.259819648e+00	+0.000000000e+00	+1.473516818e-01	0.496994589
249	+1.259939880e+00	+0.000000000e+00	+1.482840086e-01	0.498998196
250	+1.260060120e+00	+0.000000000e+00	+1.492158709e-01	0.501001804
251	+1.260180352e+00	+0.000000000e+00	+1.501472339e-01	0.503005411
252	+1.260300561e+00	+0.000000000e+00	+1.510780628e-01	0.505009018
253	+1.260420731e+00	+0.000000000e+00	+1.520083228e-01	0.507012625
254	+1.260540847e+00	+0.000000000e+00	+1.529379792e-01	0.509016232
255	+1.260660894e+00	+0.000000000e+00	+1.538669973e-01	0.511019840
256	+1.260780856e+00	+0.000000000e+00	+1.547953422e-01	0.513023447
257	+1.260900717e+00	+0.000000000e+00	+1.557229792e-01	0.515027054
258	+1.261020462e+00	+0.000000000e+00	+1.566498734e-01	0.517030661
259	+1.261140076e+00	+0.000000000e+00	+1.575759903e-01	0.519034269
260	+1.261259544e+00	+0.000000000e+00	+1.585012949e-01	0.521037876
261	+1.261378849e+00	+0.000000000e+00	+1.594257525e-01	0.523041483
262	+1.261497976e+00	+0.000000000e+00	+1.603493284e-01	0.525045090
263	+1.261616910e+00	+0.000000000e+00	+1.612719877e-01	0.527048697
264	+1.261735635e+00	+0.000000000e+00	+1.621936957e-01	0.529052305
265	+1.261854137e+00	+0.000000000e+00	+1.631144177e-01	0.531055912
266	+1.261972399e+00	+0.000000000e+00	+1.640341188e-01	0.533059519
267	+1.262090406e+00	+0.000000000e+00	+1.649527644e-01	0.535063126
268	+1.262208142e+00	+0.000000000e+00	+1.658703196e-01	0.537066733
269	+1.262325593e+00	+0.000000000e+00	+1.667867496e-01	0.539070341
270	+1.262442742e+00	+0.000000000e+00	+1.677020197e-01	0.541073948
271	+1.262559575e+00	+0.000000000e+00	+1.686160952e-01	0.543077555
272	+1.262676075e+00	+0.000000000e+00	+1.695289412e-01	0.545081162
273	+1.262792228e+00	+0.000000000e+00	+1.704405230e-01	0.547084770
274	+1.262908017e+00	+0.000000000e+00	+1.713508058e-01	0.549088377
275	+1.263023428e+00	+0.000000000e+00	+1.722597549e-01	0.551091984
276	+1.263138445e+00	+0.000000000e+00	+1.731673354e-01	0.553095591
277	+1.263253053e+00	+0.000000000e+00	+1.740735127e-01	0.555099198
278	+1.263367235e+00	+0.000000000e+00	+1.749782519e-01	0.557102806
279	+1.263480977e+00	+0.000000000e+00	+1.758815183e-01	0.559106413
280	+1.263594263e+00	+0.000000000e+00	+1.767832771e-01	0.561110020
281	+1.263707078e+00	+0.000000000e+00	+1.776834936e-01	0.563113627
282	+1.263819406e+00	+0.000000000e+00	+1.785821330e-01	0.565117234
283	+1.263931232e+00	+0.000000000e+00	+1.794791604e-01	0.567120842
284	+1.264042540e+00	+0.000000000e+00	+1.803745412e-01	0.569124449
285	+1.264153316e+00	+0.000000000e+00	+1.812682405e-01	0.571128056
286	+1.264263542e+00	+0.000000000e+00	+1.821602237e-01	0.573131663
287	+1.264373205e+00	+0.000000000e+00	+1.830504559e-01	0.575135271
288	+1.264482288e+00	+0.000000000e+00	+1.839389024e-01	0.577138878
289	+1.264590776e+00	+0.000000000e+00	+1.848255283e-01	0.579142485
290	+1.264698654e+00	+0.000000000e+00	+1.857102990e-01	0.581146092
291	+1.264805906e+00	+0.000000000e+00	+1.865931797e-01	0.583149699
292	+1.264912517e+00	+0.000000000e+00	+1.874741355e-01	0.585153307
293	+1.265018471e+00	+0.000000000e+00	+1.883531318e-01	0.587156914
294	+1.265123752e+00	+0.000000000e+00	+1.892301337e-01	0.589160521
295	+1.265228347e+00	+0.000000000e+00	+1.901051066e-01	0.591164128
296	+1.265332238e+00	+0.000000000e+00	+1.909780155e-01	0.593167735
297	+1.265435410e+00	+0.000000000e+00	+1.918488258e-01	0.595171343
298	+1.265537849e+00	+0.000000000e+00	+1.927175027e-01	0.597174950
299	+1.265639538e+00	+0.000000000e+00	+1.935840114e-01	0.599178557
300	+1.265740462e+00	+0.000000000e+00	+1.944483171e-01	0.601182164
301	+1.265840606e+00	+0.000000000e+00	+1.953103852e-01	0.603185772
302	+1.265939954e+00	+0.000000000e+00	+1.961701807e-01	0.605189379
303	+1.266038490e+00	+0.000000000e+00	+1.970276690e-01	0.607192986
304	+1.266136200e+00	+0.000000000e+00	+1.978828153e-01	0.609196593
305	+1.266233068e+00	+0.000000000e+00	+1.987355847e-01	0.611200200
306	+1.266329079e+00	+0.000000000e+00	+1.995859427e-01	0.613203808
307	+1.266424216e+00	+0.000000000e+00	+2.004338542e-01	0.615207415
308	+1.266518465e+00	+0.000000000e+00	+2.012792847e-01	0.617211022
309	+1.266611809e+00	+0.000000000e+00	+2.021221993e-01	0.619214629
310	+1.266704235e+00	+0.000000000e+00	+2.029625633e-01	0.621218236
311	+1.266795725e+00	+0.000000000e+00	+2.038003419e-01	0.623221844
312	+1.266886265e+00	+0.000000000e+00	+2.046355003e-01	0.625225451
313	+1.266975839e+00	+0.000000000e+00	+2.054680038e-01	0.627229058
314	+1.267064432e+00	+0.000000000e+00	+2.062978176e-01	0.629232665
315	+1.267152029e+00	+0.000000000e+00	+2.071249069e-01	0.631236273
316	+1.267238613e+00	+0.000000000e+00	+2.079492369e-01	0.633239880
317	+1.267324170e+00	+0.000000000e+00	+2.087707730e-01	0.635243487
318	+1.267408683e+00	+0.000000000e+00	+2.095894802e-01	0.637247094
319	+1.267492138e+00	+0.000000000e+00	+2.104053240e-01	0.639250701
